Dataset,Encoding,Avg. Encode Time (s),Avg. Decode Time (s),Avg CPU Load (%),Encode Peak (MB),Decode Peak (MB)
English (ASCII-heavy),ascii,0.0003707329069999332,2.9525786999897718e-05,99.9,0.8251237869262695,0.8206424713134766
English (ASCII-heavy),utf-8,0.0003696720300000607,0.00025029483399998753,100.0,2.475308418273926,2.5021791458129883
English (ASCII-heavy),utf-16,0.0002191173630000094,8.966334399997323e-05,100.4,1.6502180099487305,2.4753713607788086
English (ASCII-heavy),utf-32,0.0003524013769999783,0.00035470435399997767,100.4,3.3004045486450195,2.4753713607788086
Multilingual,utf-8,1.5760054999987005e-05,4.615722000039568e-06,97.9,0.08476734161376953,0.12829208374023438
Multilingual,utf-16,1.4668830000005073e-05,7.755111000051328e-06,89.0,0.042466163635253906,0.127410888671875
Multilingual,utf-32,8.498247000034098e-06,1.0549317000027258e-05,104.8,0.08477115631103516,0.12721633911132812
