Dataset,Encoding,File Size (Bytes),Avg. Write Time (s),Avg. Read Time (s),Avg CPU Load (%),RAM Delta (MB)
English (ASCII-heavy),ascii,860465,0.0008366695930000105,6.863840300002266e-05,71.8,2.45703125
English (ASCII-heavy),utf-8,874542,0.000846217331000048,0.0006647740079999949,84.0,0.984375
English (ASCII-heavy),utf-16,1730346,0.0011358953059999522,0.00016509778900001493,61.5,4.83984375
English (ASCII-heavy),utf-32,3460692,0.0020449532110000065,0.0004629344620000211,61.0,6.50390625
Multilingual,utf-8,22401,8.195129399996404e-05,2.66566079999393e-05,92.0,0.00390625
Multilingual,utf-16,44496,8.078721200001837e-05,2.811138000004121e-05,73.4,0.0
Multilingual,utf-32,88856,0.00010203817399997207,3.252770500000679e-05,89.1,0.0
