Dataset,Encoding,Avg Encode (s),Avg Decode (s),CPU (%),Peak Enc (MB),Peak Dec (MB),meta_iters_e,meta_time_e,meta_iters_d,meta_time_d,data_loss
cjk_journey_bench.txt,ascii,0.0014221074958985986,5.290071259288549e-08,100.1,6.737397193908691,6.737397193908691,1341,1.9070461520000208,10000100,0.5290124160001142,True
cjk_journey_bench.txt,utf-8,0.005871096759644121,0.013183331348685849,100.3,20.21212863922119,20.21212863922119,337,1.9785596080000687,152,2.003866365000249,
cjk_journey_bench.txt,utf-16,0.0018165013685686557,0.006376955990415768,100.0,13.474764823913574,13.474764823913574,1069,1.941839962999893,313,1.9959872250001354,
cjk_journey_bench.txt,utf-32,0.002900810103448879,0.002938491755882002,100.1,26.949498176574707,26.949498176574707,667,1.9348403390004023,680,1.9981743939997614,
english_bench.txt,ascii,0.0008972475808439558,0.0010367377177881024,100.0,20.51511573791504,20.51511573791504,2109,1.8922951479999028,1917,1.9874262049997924,
english_bench.txt,utf-8,0.0008968205844402908,0.0011695614305062812,100.1,20.51511573791504,20.51511573791504,2108,1.890497792000133,1698,1.9859153089996653,
english_bench.txt,utf-16,0.016414346429751616,0.00519799848177153,100.1,41.03020191192627,41.03020191192627,121,1.9861359179999454,384,1.9960314170002675,
english_bench.txt,utf-32,0.032386093909999546,0.008825559659291797,100.1,82.0603723526001,82.0603723526001,100,3.2386093909999545,226,1.9945764829999462,
emoji-test_bench.txt,ascii,0.001220128018721563,4.480302105070929e-07,100.1,5.6169633865356445,5.6169633865356445,1549,1.8899783009997009,4255771,1.9067139769999812,True
emoji-test_bench.txt,utf-8,0.00623766930188706,0.01751718471052555,99.8,22.467759132385254,22.467759132385254,318,1.983578838000085,114,1.9969590569999127,
emoji-test_bench.txt,utf-16,0.006340770728435053,0.007152855189963777,100.1,17.608010292053223,17.608010292053223,313,1.9846612380001716,279,1.9956465979998939,
emoji-test_bench.txt,utf-32,0.0024131977133998437,0.0024616412444721154,100.0,22.46776294708252,22.46776294708252,806,1.945037357000274,814,2.0037759730003017,
multilingual_bench.txt,ascii,0.005689429149855961,0.0009884425645719389,99.8,19.849409103393555,19.849409103393555,347,1.9742319150000185,2021,1.9976424229998884,True
multilingual_bench.txt,utf-8,0.020351799339996434,0.03283440921999954,100.0,79.3975419998169,79.3975419998169,100,2.0351799339996433,100,3.2834409219999543,
multilingual_bench.txt,utf-16,0.028670407670001622,0.03637665051000113,99.9,39.75955295562744,39.75955295562744,100,2.8670407670001623,100,3.6376650510001127,
multilingual_bench.txt,utf-32,0.039739150749996954,0.039136999930001366,99.9,79.39754581451416,79.39754581451416,100,3.973915074999695,100,3.9136999930001366,
