Dataset,Encoding,Avg. Encode Time (s),Avg. Decode Time (s),Avg CPU Load (%),Encode Peak (MB),Decode Peak (MB),data_loss
cjk_journey.txt,ascii,0.0002398112709998941,1.6896039999210188e-06,103.5,0.7413549423217773,0.04552650451660156,True
cjk_journey.txt,utf-8,0.000661572662000026,0.0014064439290000336,100.1,2.224001884460449,6.399081230163574,
cjk_journey.txt,utf-16,0.0007634991669999636,0.0006473770989999821,99.9,1.482680320739746,2.224064826965332,
cjk_journey.txt,utf-32,0.0003162436549999939,0.00032013655299999757,99.0,2.965329170227051,2.224064826965332,
emoji-test.txt,ascii,0.00019790526999997839,1.9972434999999676e-05,100.9,0.5694036483764648,0.5533514022827148,True
emoji-test.txt,utf-8,0.0003900552790000802,0.00015835123499994096,100.3,2.277520179748535,3.6634521484375,
emoji-test.txt,utf-16,0.00041774415699990185,0.00022748583600002803,99.2,1.156937599182129,3.4708251953125,
emoji-test.txt,utf-32,0.0002415178780000815,0.00024846626499993365,98.0,2.277523994445801,3.4163455963134766,
english.txt,ascii,0.000371735226999931,2.9761240999960136e-05,99.6,0.8251237869262695,0.8206424713134766,True
english.txt,utf-8,0.00037140873399994236,0.0002485809329999711,100.0,2.475308418273926,2.5021791458129883,
english.txt,utf-16,0.00022014341800002057,8.899884899994958e-05,97.0,1.6502180099487305,2.4753713607788086,
english.txt,utf-32,0.0003513190049999366,0.00035707770200008325,100.2,3.3004045486450195,2.4753713607788086,
multilingual.txt,ascii,9.58549800009223e-06,8.948270000246339e-07,189.7,0.021215438842773438,0.021146774291992188,True
multilingual.txt,utf-8,1.4376127999980782e-05,4.585037999959241e-06,52.6,0.08476734161376953,0.12829208374023438,
multilingual.txt,utf-16,1.45220760000484e-05,7.5311489999876355e-06,135.9,0.042466163635253906,0.127410888671875,
multilingual.txt,utf-32,8.482062999974005e-06,1.0180834000038886e-05,53.5,0.08477115631103516,0.12721633911132812,
