Dataset,Encoding,Avg. Encode Time (s),Avg. Decode Time (s),Avg CPU Load (%),Encode Peak (MB),Decode Peak (MB)
English (ASCII-heavy),ascii,0.00036930530699999054,2.9595116999985293e-05,100.3,0.8251237869262695,0.8206424713134766
English (ASCII-heavy),utf-8,0.0003678359859999318,0.0002487603200000876,98.9,2.475308418273926,2.5021791458129883
English (ASCII-heavy),utf-16,0.00021881077199998344,8.915209599990703e-05,100.6,1.6502180099487305,2.4753713607788086
English (ASCII-heavy),utf-32,0.00034998171999995974,0.00035249125699999694,99.6,3.3004045486450195,2.4753713607788086
Multilingual,utf-8,1.6767019999974764e-05,4.735989999971935e-06,92.8,0.08476734161376953,0.12829208374023438
Multilingual,utf-16,1.4594009000006736e-05,7.561915999986013e-06,90.1,0.042466163635253906,0.127410888671875
Multilingual,utf-32,8.542620999946848e-06,1.028165100001388e-05,106.1,0.08477115631103516,0.12721633911132812
