Dataset,Encoding,Avg. Encode Time (s),Avg. Decode Time (s),Avg CPU Load (%),Encode Peak (MB),Decode Peak (MB)
English (ASCII-heavy),ascii,0.00037236964400005944,2.9752295999969648e-05,101.9,0.8251237869262695,0.8206424713134766
English (ASCII-heavy),utf-8,0.00037180843999999526,0.0002509075269999812,99.6,2.475308418273926,2.5021791458129883
English (ASCII-heavy),utf-16,0.000221322334999968,8.971898499999042e-05,99.6,1.6502180099487305,2.4753713607788086
English (ASCII-heavy),utf-32,0.0003538908449999099,0.0003596577480000178,99.5,3.3004045486450195,2.4753713607788086
Multilingual,utf-8,1.5834265999956187e-05,4.8880430000508565e-06,96.3,0.08476734161376953,0.12829208374023438
Multilingual,utf-16,1.5345308999940245e-05,8.315465999999106e-06,126.6,0.042466163635253906,0.127410888671875
Multilingual,utf-32,8.865318000061961e-06,1.0614228999997977e-05,102.5,0.08477115631103516,0.12721633911132812
