Dataset,Encoding,File Size (Bytes),Avg. Write Time (s),Avg. Read Time (s),Avg CPU Load (%),RAM Delta (MB)
English (ASCII-heavy),ascii,860465,0.0008394274689999293,6.860150400007115e-05,73.8,2.46484375
English (ASCII-heavy),utf-8,874542,0.0008346958489998997,0.0006511414629999308,82.8,0.98046875
English (ASCII-heavy),utf-16,1730346,0.0010866425860000392,0.00015863490899994302,61.0,4.83203125
English (ASCII-heavy),utf-32,3460692,0.0020072308390000444,0.00047517736300005706,61.6,6.50390625
Multilingual,utf-8,22401,7.644774899995355e-05,2.4442462000024535e-05,89.1,0.00390625
Multilingual,utf-16,44496,8.087664100003166e-05,2.782645100000991e-05,91.9,0.0078125
Multilingual,utf-32,88856,9.587409599998864e-05,3.552104200002759e-05,76.1,0.0
