Dataset,Encoding,File Size (Bytes),Avg. Write Time (s),Avg. Read Time (s),Avg CPU Load (%),RAM Delta (MB)
English (ASCII-heavy),ascii,860465,0.0008322039600000152,6.87893140000142e-05,73.2,2.4765625
English (ASCII-heavy),utf-8,874542,0.0011484765029999835,0.0006581099369999492,86.3,2.51171875
English (ASCII-heavy),utf-16,1730346,0.0011134638500000164,0.00015816920299994308,62.1,1.65625
English (ASCII-heavy),utf-32,3460692,0.0020299738490000435,0.0004715204829999493,62.0,2.50390625
Multilingual,utf-8,22401,8.162667700003112e-05,2.7822412999967127e-05,91.3,-8.8671875
Multilingual,utf-16,44496,8.37553180000441e-05,2.91748130000542e-05,88.5,0.0
Multilingual,utf-32,88856,0.00010213774399994691,3.374047399995561e-05,80.9,0.00390625
