Dataset,Encoding,File Size (Bytes),Avg. Write Time (s),Avg. Read Time (s),Avg CPU Load (%),RAM Delta (MB)
English (ASCII-heavy),ascii,860465,0.0008488966410000103,6.994417700002486e-05,74.0,2.46484375
English (ASCII-heavy),utf-8,874542,0.0011170059410000022,0.0006493738149999899,86.0,2.54296875
English (ASCII-heavy),utf-16,1730346,0.001117016079999985,0.00015840860799994517,61.2,1.65625
English (ASCII-heavy),utf-32,3460692,0.0020772767140000495,0.000477323618000014,62.2,2.4765625
Multilingual,utf-8,22401,7.872340799997346e-05,2.546421400006693e-05,86.3,-8.8671875
Multilingual,utf-16,44496,8.227288599994153e-05,2.9414769999903e-05,89.5,0.01171875
Multilingual,utf-32,88856,9.683769699995537e-05,3.28694730000052e-05,77.1,0.0
