Dataset,Encoding,Avg. Encode Time (s),Avg. Decode Time (s),Avg CPU Load (%),Encode Peak Mem (MB),Decode Peak Mem (MB)
English (ASCII-heavy),ascii,0.00037699179700007333,3.2692652000037014e-05,100.1,1.6472768783569336,1.6413536071777344
English (ASCII-heavy),utf-8,0.0003771208380001099,0.00025643860799993946,101.0,3.309436798095703,4.152487754821777
English (ASCII-heavy),utf-16,0.00022365955400005077,9.428518599997915e-05,97.5,3.300504684448242,4.125679969787598
English (ASCII-heavy),utf-32,0.0003559988409999733,0.0003643076639999663,101.3,6.60087776184082,4.125679969787598
Multilingual,utf-8,1.9884218999891346e-05,1.1746995000066818e-05,94.6,0.1062307357788086,0.21315383911132812
Multilingual,utf-16,1.6998217000036676e-05,1.4570720000051551e-05,94.9,0.08500099182128906,0.21227264404296875
Multilingual,utf-32,1.0841848000040954e-05,1.5831331000072167e-05,112.3,0.16961097717285156,0.21207809448242188
